LGA_Code,LGA_Name,Total_Median,Unit_Total_Median,House_Total_Median,Total_Count,Unit_Total_Count,House_Total_Count,Sample_Quality,Median_Weekly_Household_Income_2021,Rent_to_Income_Proxy,Rent_to_Income_Proxy_Pct,Unit_Rent_to_Income_Proxy,Unit_Rent_to_Income_Proxy_Pct,House_Rent_to_Income_Proxy,House_Rent_to_Income_Proxy_Pct,House_Unit_Rent_Gap,House_Unit_Rent_Premium_Pct,Population_2024,Population_2025,Population_Change,Population_Growth_Pct,Natural_Increase_2024_25,Net_Internal_Migration_2024_25,Net_Overseas_Migration_2024_25,Net_Migration_2024_25,Area_km2,Population_Density_2025,House_Approvals_2024_25,Other_Residential_Approvals_2024_25,Residual_Approval_Units_2024_25,Approvals_2024_25,Approvals_2025_26_FYTD,House_Approvals_per_1000,Other_Residential_Approvals_per_1000,Approvals_per_1000,Other_Residential_Approval_Share_Pct,Approvals_per_100_New_Residents,Affordability_Pressure_Score,Demand_Pressure_Score,Supply_Gap_Score,Weighted_Component_Score,Housing_Pressure_Index,Housing_Pressure_Category,Eligible_for_Score,Complete_Score
40910,Campbelltown (SA),620.0,512.5,660.0,445.0,105.0,335.0,Stronger (20+ bonds),1590,0.3899,39.0,0.3223,32.2,0.4151,41.5,147.5,28.8,58097.0,58826.0,729.0,1.3,103.0,-247.0,873.0,626.0,24.3,2416.0,293.0,161.0,0.0,454.0,316.0,4.98,2.74,7.72,35.5,62.3,75.5,80.2,32.1,65.8,75.5,High,True,True
48830,Yorke Peninsula,400.0,296.0,400.0,40.0,,35.0,Stronger (20+ bonds),960,0.4167,41.7,,,0.4167,41.7,,,12161.0,12242.0,81.0,0.7,-76.0,148.0,9.0,157.0,5899.6,2.1,94.0,0.0,1.0,95.0,78.0,7.68,0.0,7.76,0.0,117.3,86.8,50.9,30.2,63.7,73.6,High,True,True
42110,Goyder,350.0,275.0,350.0,10.0,,5.0,Moderate (10–19 bonds),916,0.3821,38.2,,,,,,,4145.0,4141.0,-4.0,-0.1,-20.0,12.0,4.0,16.0,6715.1,0.6,3.0,0.0,0.0,3.0,11.0,0.72,0.0,0.72,0.0,,71.7,13.2,94.3,62.7,71.7,High,True,True
45040,Murray Bridge,450.0,310.0,465.0,240.0,30.0,210.0,Stronger (20+ bonds),1109,0.4058,40.6,0.2795,28.0,0.4193,41.9,155.0,50.0,23322.0,23539.0,217.0,0.9,-29.0,60.0,186.0,246.0,1831.8,12.9,190.0,12.0,0.0,202.0,221.0,8.07,0.51,8.58,5.9,93.1,79.2,65.1,26.4,62.5,69.8,High,True,True
41060,Charles Sturt,600.0,530.0,650.0,1035.0,340.0,675.0,Stronger (20+ bonds),1563,0.3839,38.4,0.3391,33.9,0.4159,41.6,120.0,22.6,129441.0,130841.0,1400.0,1.1,201.0,-393.0,1592.0,1199.0,54.8,2388.1,538.0,919.0,6.0,1463.0,1168.0,4.11,7.02,11.18,62.8,104.5,73.6,73.6,18.9,59.9,67.9,High,True,True
42600,Holdfast Bay,600.0,550.0,700.0,340.0,205.0,135.0,Stronger (20+ bonds),1604,0.3741,37.4,0.3429,34.3,0.4364,43.6,150.0,27.3,39351.0,39683.0,332.0,0.8,-152.0,-155.0,639.0,484.0,13.8,2885.6,134.0,150.0,1.0,285.0,215.0,3.38,3.78,7.18,52.6,85.8,67.9,58.5,38.7,58.2,66.0,High,True,True
46300,Port Lincoln,450.0,400.0,480.0,125.0,35.0,85.0,Stronger (20+ bonds),1243,0.362,36.2,0.3218,32.2,0.3862,38.6,80.0,20.0,15067.0,15065.0,-2.0,0.0,13.0,-47.0,32.0,-15.0,30.4,496.1,36.0,0.0,0.0,36.0,31.0,2.39,0.0,2.39,0.0,,62.3,20.8,81.1,56.6,64.2,High,True,True
47700,Tea Tree Gully,600.0,515.0,620.0,430.0,60.0,365.0,Stronger (20+ bonds),1635,0.367,36.7,0.315,31.5,0.3792,37.9,105.0,20.4,104590.0,105120.0,530.0,0.5,195.0,-392.0,727.0,335.0,95.2,1104.1,388.0,142.0,1.0,531.0,443.0,3.69,1.35,5.05,26.7,100.2,64.2,40.6,54.7,55.9,62.3,High,True,True
48410,West Torrens,550.0,470.0,650.0,500.0,225.0,270.0,Stronger (20+ bonds),1587,0.3466,34.7,0.2962,29.6,0.4096,41.0,180.0,38.3,65934.0,66547.0,613.0,0.9,64.0,-894.0,1443.0,549.0,37.1,1794.3,202.0,220.0,2.0,424.0,405.0,3.04,3.31,6.37,51.9,69.2,52.8,65.1,49.1,55.0,60.4,High,True,True
40310,Barossa,550.0,450.0,550.0,100.0,10.0,85.0,Stronger (20+ bonds),1480,0.3716,37.2,0.3041,30.4,0.3716,37.2,100.0,22.2,26631.0,26817.0,186.0,0.7,-29.0,135.0,80.0,215.0,893.5,30.0,190.0,1.0,3.0,194.0,179.0,7.09,0.04,7.23,0.5,104.3,66.0,50.9,35.8,54.7,58.5,Moderate,True,True
44550,Mount Barker,595.0,500.0,600.0,285.0,20.0,265.0,Stronger (20+ bonds),1753,0.3394,33.9,0.2852,28.5,0.3423,34.2,100.0,20.0,43711.0,45111.0,1400.0,3.2,245.0,963.0,192.0,1155.0,594.6,75.9,586.0,36.0,3.0,625.0,562.0,12.99,0.8,13.85,5.8,44.6,50.9,95.3,15.1,53.0,56.6,Moderate,True,True
40120,Adelaide Hills,650.0,452.5,650.0,80.0,10.0,70.0,Stronger (20+ bonds),2067,0.3145,31.4,0.2189,21.9,0.3145,31.4,197.5,43.6,42448.0,42875.0,427.0,1.0,121.0,86.0,220.0,306.0,794.5,54.0,112.0,53.0,10.0,175.0,82.0,2.61,1.24,4.08,30.3,41.0,33.0,70.8,66.0,50.7,54.7,Moderate,True,True
44340,Mitcham,600.0,500.0,675.0,320.0,95.0,205.0,Stronger (20+ bonds),1996,0.3006,30.1,0.2505,25.0,0.3382,33.8,175.0,35.0,70585.0,71267.0,682.0,1.0,18.0,-220.0,884.0,664.0,75.5,943.3,174.0,38.0,2.0,214.0,152.0,2.44,0.53,3.0,17.8,31.4,26.4,70.8,77.4,50.2,51.9,Moderate,True,True
44620,Mount Gambier,430.0,300.0,460.0,270.0,75.0,195.0,Stronger (20+ bonds),1232,0.349,34.9,0.2435,24.3,0.3734,37.3,160.0,53.3,28016.0,28057.0,41.0,0.1,-25.0,-16.0,82.0,66.0,33.9,827.8,110.0,11.0,1.0,122.0,152.0,3.92,0.39,4.35,9.0,297.6,54.7,27.4,64.2,50.2,51.9,Moderate,True,True
44210,Mid Murray,350.0,270.0,375.0,20.0,,20.0,Stronger (20+ bonds),918,0.3813,38.1,,,0.4085,40.8,,,9600.0,9674.0,74.0,0.8,-34.0,86.0,22.0,108.0,6271.6,1.5,200.0,0.0,0.0,200.0,121.0,20.67,0.0,20.67,0.0,270.3,69.8,58.5,0.0,49.5,49.1,Moderate,True,True
48130,Wakefield,380.0,365.0,400.0,15.0,,15.0,Moderate (10–19 bonds),1138,0.3339,33.4,,,0.3515,35.2,,,6996.0,6993.0,-3.0,0.0,-4.0,-12.0,13.0,1.0,3468.5,2.0,20.0,0.0,0.0,20.0,10.0,2.86,0.0,2.86,0.0,,47.2,20.8,79.2,48.6,47.2,Moderate,True,True
46450,Port Pirie,350.0,275.0,385.0,110.0,10.0,80.0,Stronger (20+ bonds),1063,0.3293,32.9,0.2587,25.9,0.3622,36.2,110.0,40.0,17672.0,17664.0,-8.0,0.0,-33.0,-7.0,32.0,25.0,1760.7,10.0,37.0,3.0,1.0,41.0,37.0,2.09,0.17,2.32,7.3,,43.4,20.8,84.9,48.1,45.3,Moderate,True,True
41140,Clare and Gilbert Valleys,430.0,302.5,440.0,35.0,,35.0,Stronger (20+ bonds),1311,0.328,32.8,,,0.3356,33.6,,,9446.0,9467.0,21.0,0.2,-8.0,5.0,24.0,29.0,1892.4,5.0,31.0,2.0,0.0,33.0,24.0,3.27,0.21,3.49,6.1,157.1,41.5,33.0,73.6,47.4,43.4,Moderate,True,True
43650,Light,590.0,164.9,615.0,35.0,,30.0,Stronger (20+ bonds),1781,0.3313,33.1,,,0.3453,34.5,,,17053.0,17317.0,264.0,1.5,41.0,184.0,39.0,223.0,1276.8,13.6,298.0,0.0,2.0,300.0,195.0,17.21,0.0,17.32,0.0,113.6,45.3,84.9,9.4,46.2,41.5,Moderate,True,True
47800,Coorong,382.5,281.0,395.0,15.0,,10.0,Moderate (10–19 bonds),1084,0.3529,35.3,,,0.3644,36.4,,,5633.0,5627.0,-6.0,-0.1,2.0,-18.0,10.0,-8.0,8833.4,0.6,29.0,0.0,0.0,29.0,24.0,5.15,0.0,5.15,0.0,,56.6,13.2,52.8,44.8,38.7,Low,True,True
42750,Kangaroo Island,380.0,270.0,400.0,25.0,5.0,20.0,Stronger (20+ bonds),1128,0.3369,33.7,,,0.3546,35.5,,,5172.0,5212.0,40.0,0.8,-1.0,22.0,19.0,41.0,4400.9,1.2,55.0,0.0,0.0,55.0,46.0,10.55,0.0,10.55,0.0,137.5,49.1,58.5,22.6,44.8,38.7,Low,True,True
41330,Coober Pedy,250.0,244.5,250.0,15.0,,10.0,Moderate (10–19 bonds),764,0.3272,32.7,,,0.3272,32.7,,,1542.0,1526.0,-16.0,-1.0,-4.0,-19.0,7.0,-12.0,77.7,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,39.6,1.9,97.2,44.6,35.8,Low,True,True
46670,Renmark Paringa,377.5,300.0,400.0,65.0,15.0,50.0,Stronger (20+ bonds),1226,0.3079,30.8,0.2447,24.5,0.3263,32.6,100.0,33.3,10213.0,10274.0,61.0,0.6,19.0,-51.0,93.0,42.0,916.4,11.2,38.0,0.0,0.0,38.0,49.0,3.7,0.0,3.7,0.0,62.3,30.2,44.3,69.8,43.6,34.0,Low,True,True
40150,Adelaide Plains,530.0,400.0,597.5,55.0,,40.0,Stronger (20+ bonds),1685,0.3145,31.4,,,0.3546,35.5,,,11307.0,11736.0,429.0,3.8,92.0,322.0,15.0,337.0,932.5,12.6,222.0,2.0,0.0,224.0,99.0,18.92,0.17,19.09,0.9,52.2,33.0,98.1,7.5,42.9,32.1,Low,True,True
