Suburb,Unit_1BR_Count,Unit_1BR_Median,Unit_2BR_Count,Unit_2BR_Median,Unit_3BR_Count,Unit_3BR_Median,Unit_Total_Count,Unit_Total_Median,House_Total_Count,House_Total_Median,Total_Count,Total_Median
Elizabeth Vale,,280.0,,435.0,,500.0,,435.0,45.0,500.0,50.0,500.0
Enfield,,420.0,,500.0,,,10.0,465.0,40.0,650.0,50.0,610.0
Erindale,,,,550.0,,,,550.0,,,,550.0
Ethelton,,,,405.0,,,,405.0,10.0,600.0,10.0,600.0
Evandale,,,,450.0,,,,450.0,5.0,625.0,10.0,570.0
Evanston,,280.0,,340.0,,,5.0,280.0,40.0,520.0,45.0,500.0
Evanston Gardens,,,,,,560.0,,560.0,50.0,540.0,50.0,540.0
Evanston Park,,,,,,,,,25.0,600.0,25.0,600.0
Evanston South,,,,,,,,,,600.0,5.0,385.0
Everard Park,,355.0,,500.0,,,10.0,425.0,,990.0,10.0,437.5
Exeter,,,,355.0,,,,355.0,,620.0,,445.0
Eyre,,,,510.0,,,,510.0,20.0,550.0,25.0,550.0
Fairview Park,,,,,,,,,10.0,650.0,10.0,650.0
Felixstow,,242.7,5.0,480.0,,700.0,10.0,490.0,20.0,695.0,30.0,645.0
Ferryden Park,,425.0,,490.0,,,,450.0,25.0,620.0,30.0,600.0
Findon,15.0,575.0,25.0,597.5,,650.0,45.0,580.0,45.0,650.0,90.0,612.5
Firle,,440.0,,525.0,,550.0,10.0,550.0,,580.0,15.0,560.0
Fitzroy,,,,,,,,,,320.0,,320.0
Flagstaff Hill,,,,,,,,,20.0,687.5,20.0,687.5
Flinders Park,,,,450.0,,775.0,5.0,455.0,35.0,610.0,40.0,600.0
Forestville,,420.0,,550.0,,575.0,,550.0,10.0,600.0,15.0,572.5
Frewville,,,,590.0,,734.0,,730.0,,800.0,5.0,749.0
Fulham,,,,550.0,,,,550.0,20.0,680.0,20.0,615.0
Fulham Gardens,,,5.0,435.0,,750.0,10.0,485.0,25.0,800.0,40.0,735.0
Fullarton,,278.0,10.0,557.5,,625.0,20.0,550.0,15.0,875.0,35.0,590.0
Gawler,,,,440.0,,,,440.0,,490.0,5.0,450.0
Gawler East,,,,480.0,,,,480.0,30.0,580.0,35.0,580.0
Gawler South,,,,420.0,,,,420.0,5.0,600.0,10.0,600.0
Gawler West,,,,,,492.5,,492.5,,535.0,,492.5
Gepps Cross,,,,,,,,,5.0,600.0,5.0,600.0
Gilberton,,515.0,,480.0,,690.0,,515.0,5.0,1100.0,10.0,842.5
Gilles Plains,,375.0,,,,,,375.0,40.0,650.0,45.0,607.5
Gillman,,,,,,,,,,772.5,,772.5
Glandore,,430.0,,500.0,,600.0,10.0,510.0,10.0,770.0,20.0,620.0
Glanville,,,,464.0,,,,464.0,,640.0,10.0,557.5
Glen Osmond,,310.0,,450.0,,,,380.0,10.0,950.0,15.0,750.0
Glenalta,,,,,,,,,5.0,650.0,5.0,650.0
Glenelg,20.0,555.0,25.0,580.0,10.0,780.0,55.0,585.0,10.0,692.5,65.0,600.0
Glenelg East,,250.0,15.0,540.0,,625.0,20.0,527.5,10.0,635.0,35.0,550.0
Glenelg North,,415.0,30.0,500.0,,1350.0,40.0,507.5,15.0,680.0,55.0,572.5
Glenelg South,,415.0,15.0,570.0,,750.0,20.0,565.0,,550.0,25.0,555.0
Glengowrie,,,,500.0,,545.0,,522.5,20.0,690.0,25.0,650.0
Glenside,,557.5,15.0,550.0,,940.0,25.0,555.0,10.0,800.0,35.0,615.0
Glenunga,,275.0,5.0,560.0,,750.0,10.0,560.0,15.0,500.0,20.0,555.0
Globe Derby Park,,,,,,,,,,530.0,,530.0
Glynde,,,,500.0,,632.5,5.0,530.0,10.0,715.0,20.0,662.5
Golden Grove,,,,348.6,,562.5,,535.0,30.0,660.0,35.0,630.0
Goodwood,,360.0,20.0,500.0,,645.0,20.0,497.5,5.0,655.0,30.0,500.0
Grange,,372.5,5.0,475.0,,680.0,15.0,470.0,30.0,775.0,40.0,662.5
Greenacres,,,,336.79999999999995,,,,336.79999999999995,10.0,690.0,15.0,650.0
Greenwith,,,,164.8,,,,164.8,20.0,575.0,20.0,572.5
Gulfview Heights,,,,,,,,,10.0,615.0,10.0,615.0
Hackham,,330.0,,,,600.0,,360.0,10.0,555.0,15.0,550.0
Hackham West,,360.0,,400.0,,,,400.0,25.0,545.0,30.0,527.5
Hackney,,460.0,,,,720.0,,590.0,,665.0,,665.0
Hallett Cove,,,,,,545.0,,545.0,45.0,655.0,45.0,650.0
Hampstead Gardens,,299.5,,465.0,,,,440.0,10.0,670.0,15.0,660.0
Happy Valley,,,,,,,,,25.0,630.0,25.0,630.0
Hawthorn,,,,500.0,,,,500.0,,750.0,10.0,587.5
Hawthorndene,,380.0,,350.0,,,,365.0,,650.0,,515.0
Hazelwood Park,,,,555.0,,,,555.0,5.0,800.0,10.0,780.0
Heathpool,,,,,,,,,5.0,1000.0,5.0,1000.0
Hectorville,,,15.0,520.0,,640.0,20.0,550.0,30.0,670.0,50.0,600.0
Hendon,,181.25,,400.0,,,,400.0,,640.0,5.0,490.0
Henley Beach,,435.0,20.0,560.0,,850.0,25.0,560.0,10.0,880.0,35.0,700.0
Henley Beach South,,,30.0,240.275,,660.0,30.0,242.65,10.0,1000.0,40.0,357.25
Highbury,,,,550.0,,475.0,,550.0,20.0,630.0,25.0,630.0
Highgate,,410.0,,520.0,,850.0,,790.0,,750.0,10.0,750.0
Hillbank,,,,,,,,,10.0,580.0,10.0,580.0
Hillcrest,,,,400.0,,460.0,,430.0,30.0,680.0,30.0,655.0
Hillier,,,,,,,,,,545.0,,545.0
Hilton,,,,,,,,,,750.0,,750.0
Hindmarsh,,,,,,767.5,,767.5,,545.0,5.0,520.0
Holden Hill,,,,495.0,,550.0,,500.0,30.0,610.0,35.0,600.0
Hope Valley,,,,470.0,,507.5,5.0,470.0,20.0,597.5,25.0,540.0
Hove,,,,550.0,,,,550.0,10.0,725.0,15.0,650.0
Huntfield Heights,,,,460.0,,,,460.0,10.0,550.0,15.0,550.0
Hyde Park,,472.5,10.0,550.0,,470.0,10.0,535.0,,1300.0,15.0,580.0
Ingle Farm,,430.0,,,,213.2,,321.6,70.0,600.0,70.0,600.0
Joslin,,420.0,,530.0,,,,440.0,,925.0,,530.0
Kensington,,,10.0,530.0,,620.0,10.0,540.0,10.0,705.0,20.0,620.0
Kensington Gardens,,430.0,10.0,550.0,,680.0,15.0,550.0,5.0,600.0,25.0,550.0
Kensington Park,,275.0,,560.0,,600.0,,560.0,10.0,755.0,15.0,590.0
Kent Town,,590.0,5.0,560.0,,600.0,15.0,580.0,,1250.0,15.0,580.0
Keswick,,,,455.0,,530.0,,470.0,5.0,630.0,10.0,525.0
Kidman Park,,208.8,,,,595.0,,470.0,20.0,710.0,25.0,700.0
