Suburb,Unit_Total_Median,House_Total_Median,Total_Median,Total_Count,Rent_Pressure_Category
Hampstead Gardens,440.0,670.0,660.0,15.0,Medium
Morphettville,550.0,690.0,655.0,25.0,Medium
Hillcrest,430.0,680.0,655.0,30.0,Medium
Sturt,172.5,657.5,652.5,20.0,Medium
Lightsview,587.5,675.0,650.0,45.0,Medium
Murray Bridge North,,650.0,650.0,,Medium
Pasadena,480.0,665.0,650.0,10.0,Medium
Wistow,,650.0,650.0,,Medium
Two Wells,400.0,670.0,650.0,30.0,Medium
Aldinga,445.0,650.0,650.0,,Medium
Aldgate,,650.0,650.0,5.0,Medium
Glenalta,,650.0,650.0,5.0,Medium
Waitpinga,,650.0,650.0,,Medium
Port Adelaide,565.0,650.0,650.0,30.0,Medium
Glengowrie,522.5,690.0,650.0,25.0,Medium
Hallett Cove,545.0,655.0,650.0,45.0,Medium
Greenacres,336.79999999999995,690.0,650.0,15.0,Medium
North Adelaide,600.0,720.0,650.0,130.0,Medium
Payneham South,550.0,650.0,650.0,10.0,Medium
Marino,420.0,800.0,650.0,10.0,Medium
Seaford Heights,,650.0,650.0,10.0,Medium
Brighton,575.0,805.0,650.0,40.0,Medium
Seaton,485.0,665.0,650.0,95.0,Medium
Flaxman Valley (Mount Pleasan,,650.0,650.0,,Medium
Warradale,520.0,690.0,650.0,40.0,Medium
Newton,450.0,660.0,650.0,35.0,Medium
Rostrevor,515.0,680.0,650.0,45.0,Medium
Tennyson,570.0,895.0,650.0,5.0,Medium
Fairview Park,,650.0,650.0,10.0,Medium
Tonsley,620.0,675.0,650.0,30.0,Medium
Port Noarlunga South,,650.0,650.0,15.0,Medium
Hove,550.0,725.0,650.0,15.0,Medium
Longwood,,650.0,650.0,,Medium
Novar Gardens,360.0,695.0,647.5,10.0,Medium
Felixstow,490.0,695.0,645.0,30.0,Medium
Keyneton,,645.0,645.0,,Medium
Upper Sturt,,640.0,640.0,,Medium
Mclaren Flat,,640.0,640.0,,Medium
Campbelltown,510.0,670.0,640.0,110.0,Medium
Blackwood,505.0,650.0,640.0,15.0,Medium
Allenby Gardens,430.0,685.0,640.0,15.0,Medium
Largs North,500.0,730.0,640.0,30.0,Medium
Athelstone,575.0,650.0,640.0,40.0,Medium
Brompton,600.0,640.0,635.0,55.0,Medium
Vista,,635.0,635.0,,Medium
Ashford,495.0,780.0,635.0,15.0,Medium
Happy Valley,,630.0,630.0,25.0,Medium
Medindie Gardens,,630.0,630.0,,Medium
Lockleys,505.0,670.0,630.0,25.0,Medium
Modbury,499.0,650.0,630.0,60.0,Medium
Marion,630.0,620.0,630.0,30.0,Medium
Highbury,550.0,630.0,630.0,25.0,Medium
Aberfoyle Park,500.0,635.0,630.0,25.0,Medium
Golden Grove,535.0,660.0,630.0,35.0,Medium
