Suburb,Unit_Total_Median,House_Total_Median,Total_Median,Total_Count,Rent_Pressure_Category
Port Augusta,295.0,355.0,330.0,105.0,Low
Pinnaroo,250.0,400.0,325.0,,Low
Towitta,,320.0,320.0,,Low
Fitzroy,,320.0,320.0,,Low
Bedford Park,480.0,270.0,320.0,35.0,Low
Blanchetown,,315.0,315.0,,Low
Eudunda,270.0,350.0,310.0,,Low
Whyalla,250.0,360.0,310.0,35.0,Low
Streaky Bay,,310.0,310.0,,Low
Hilltown,,310.0,310.0,,Low
Whyalla Norrie,275.0,307.5,305.0,55.0,Low
Quorn,,300.0,300.0,,Low
Whyalla Playford,250.0,375.0,300.0,25.0,Low
Port Mannum,,300.0,300.0,,Low
Wirrina Cove,300.0,520.0,300.0,,Low
Hindmarsh Valley,,,300.0,,Low
Wudinna,,300.0,300.0,,Low
Tintinara,,300.0,300.0,,Low
Port Victoria,,300.0,300.0,,Low
Second Valley,300.0,,300.0,,Low
Farrell Flat,,300.0,300.0,,Low
Padthaway,,300.0,300.0,,Low
Jamestown,,295.0,295.0,,Low
Glossop,,290.0,290.0,,Low
Tarpeena,287.5,350.0,287.5,,Low
Reedy Creek,,280.0,280.0,,Low
Bugle Hut,,280.0,280.0,,Low
Whyalla Stuart,240.0,280.0,280.0,60.0,Low
Leigh Creek,,280.0,280.0,,Low
Salisbury Heights,,625.0,280.0,15.0,Low
Point Pass,280.0,,280.0,,Low
Gawler Belt,,687.5,275.0,,Low
Karoonda,,270.0,270.0,,Low
Mount Burr,,270.0,270.0,,Low
Keith,210.0,310.0,270.0,,Low
Willalooka,,270.0,270.0,,Low
Middle Beach,,,260.0,11.0,Low
Cleve,220.0,305.0,260.0,,Low
Coonalpyn,,260.0,260.0,,Low
Bellevue Heights,385.0,250.0,250.0,5.0,Low
Coober Pedy,244.5,250.0,250.0,15.0,Low
Wattle Flat,250.0,,250.0,,Low
Coonawarra,,250.0,250.0,,Low
Booleroo Centre,146.0,350.0,248.0,,Low
Robe,240.0,450.0,240.0,5.0,Low
Darlington,550.0,575.0,240.0,15.0,Low
Lock,240.0,230.0,230.0,,Low
Brownlow Via Kingscote,230.0,,230.0,,Low
Qualco,,230.0,230.0,,Low
Port Pirie,,415.0,227.5,30.0,Low
Verdun,,,227.5,,Low
Springfield,,,220.0,,Low
Yankalilla,214.1,,214.1,,Low
Andamooka,,200.0,200.0,,Low
Westall,200.0,,200.0,,Low
Port Neill,,200.0,200.0,,Low
Cowell,200.0,200.0,200.0,,Low
Hawker,180.0,,180.0,,Low
Stockport,,,170.0,,Low
Mount Bryan,,150.0,150.0,,Low
Kimba,85.0,,85.0,,Low
