Suburb,Unit_Total_Median,House_Total_Median,Total_Median,Total_Count,Rent_Score,Housing_Pressure_Score,Housing_Pressure_Category
Commissariat Point,,425.0,425.0,,1,1,Very Low
Rosetown,,425.0,425.0,,1,1,Very Low
Angaston,360.0,437.5,425.0,10.0,1,1,Very Low
Point Turton,,422.5,422.5,,1,1,Very Low
Cross Roads,,420.0,420.0,,1,1,Very Low
Kadina,,420.0,420.0,15.0,1,1,Very Low
Auburn,,415.0,415.0,,1,1,Very Low
West Richmond,415.0,475.0,415.0,5.0,1,1,Very Low
Penfield,,415.0,415.0,,1,1,Very Low
Edithburgh,,412.5,412.5,,1,1,Very Low
Ardrossan,410.0,400.0,405.0,10.0,1,1,Very Low
Willow Creek,,405.0,405.0,,1,1,Very Low
Port Macdonnell,,400.0,400.0,,1,1,Very Low
Port Pirie South,275.0,410.0,400.0,15.0,1,1,Very Low
Riverton,,400.0,400.0,,1,1,Very Low
Sandergrove,,400.0,400.0,,1,1,Very Low
Sevenhill,,400.0,400.0,,1,1,Very Low
Tailem Bend,247.0,400.0,400.0,5.0,1,1,Very Low
Bute,,400.0,400.0,,1,1,Very Low
Ceduna,,400.0,400.0,,1,1,Very Low
Cambrai,,400.0,400.0,,1,1,Very Low
Burra,,400.0,400.0,,1,1,Very Low
Kuitpo,,400.0,400.0,,1,1,Very Low
Mallala,,400.0,400.0,,1,1,Very Low
Blanche Harbor,,400.0,400.0,,1,1,Very Low
Coobowie,,400.0,400.0,,1,1,Very Low
Balaklava,,400.0,400.0,10.0,1,1,Very Low
Bolivar,,,400.0,,1,1,Very Low
Cobdogla,,400.0,400.0,,1,1,Very Low
Goolwa,335.0,490.0,397.5,15.0,1,1,Very Low
Minlaton,182.0,400.0,397.5,5.0,1,1,Very Low
Loxton,310.0,430.0,395.0,20.0,1,1,Very Low
Stirling North,,390.0,390.0,5.0,1,1,Very Low
Evanston South,,600.0,385.0,5.0,1,1,Very Low
Renmark,290.0,410.0,382.5,55.0,1,1,Very Low
Risdon Park,320.0,392.5,382.5,20.0,1,1,Very Low
Fisherman Bay,,380.0,380.0,,1,1,Very Low
Kingscote,260.0,400.0,380.0,15.0,1,1,Very Low
Port Augusta West,332.5,380.0,380.0,25.0,1,1,Very Low
Monarto,,380.0,380.0,,1,1,Very Low
James Well,,380.0,380.0,,1,1,Very Low
Loxton North,,380.0,380.0,5.0,1,1,Very Low
Callington,,380.0,380.0,,1,1,Very Low
Blackfellows Caves,,380.0,380.0,,1,1,Very Low
Warooka,,380.0,380.0,,1,1,Very Low
Ballast Head,,380.0,380.0,,1,1,Very Low
Yorketown,,380.0,380.0,,1,1,Very Low
Moonta Bay,200.7,400.0,380.0,10.0,1,1,Very Low
Roxby Downs,310.0,400.0,377.5,60.0,1,1,Very Low
Wellington East,,375.0,375.0,,1,1,Very Low
Nepean Bay,,375.0,375.0,,1,1,Very Low
Naracoorte,325.0,390.0,370.0,40.0,1,1,Very Low
Solomontown,,370.0,370.0,15.0,1,1,Very Low
Meningie,315.0,400.0,370.0,,1,1,Very Low
Peterborough,,367.5,367.5,5.0,1,1,Very Low
Tumby Bay,300.0,500.0,365.0,10.0,1,1,Very Low
Port Wakefield,365.0,485.0,365.0,,1,1,Very Low
Monash,300.0,430.0,365.0,,1,1,Very Low
Maitland,,362.5,362.5,5.0,1,1,Very Low
Lucindale,,360.0,360.0,,1,1,Very Low
Henley Beach South,242.65,1000.0,357.25,40.0,1,1,Very Low
Risdon Park South,,355.0,355.0,5.0,1,1,Very Low
Mylor,350.0,,350.0,,1,1,Very Low
Berri,250.0,380.0,350.0,35.0,1,1,Very Low
Kybunga,,350.0,350.0,,1,1,Very Low
Tulka,,350.0,350.0,,1,1,Very Low
German Creek,,350.0,350.0,,1,1,Very Low
Napperby,,350.0,350.0,,1,1,Very Low
Paringa,330.0,460.0,350.0,5.0,1,1,Very Low
Mccracken,300.0,630.0,350.0,5.0,1,1,Very Low
Kingston SE,350.0,325.0,350.0,,1,1,Very Low
Lameroo,250.0,350.0,350.0,,1,1,Very Low
Medindie,600.0,1125.0,350.0,15.0,1,1,Very Low
Gladstone,,350.0,350.0,,1,1,Very Low
Arno Bay,,350.0,350.0,,1,1,Very Low
Wilmington,,350.0,350.0,,1,1,Very Low
Riverglades,,350.0,350.0,,1,1,Very Low
Hatherleigh,,350.0,350.0,,1,1,Very Low
Allendale East,,345.0,345.0,,1,1,Very Low
Mannum,270.0,420.0,340.0,10.0,1,1,Very Low
Waikerie,250.0,350.0,340.0,10.0,1,1,Very Low
Penola,,340.0,340.0,,1,1,Very Low
Wonuarra,,340.0,340.0,,1,1,Very Low
Cooltong,,340.0,340.0,,1,1,Very Low
Port Pirie West,240.0,350.0,337.5,20.0,1,1,Very Low
Owen,,335.0,335.0,,1,1,Very Low
Thorngate,,335.0,335.0,,1,1,Very Low
Redhill,,330.0,330.0,,1,1,Very Low
Lochiel,,330.0,330.0,,1,1,Very Low
Barmera,320.0,360.0,330.0,15.0,1,1,Very Low
Millicent,320.0,350.0,330.0,25.0,1,1,Very Low
Port Augusta,295.0,355.0,330.0,105.0,1,1,Very Low
Pinnaroo,250.0,400.0,325.0,,1,1,Very Low
Towitta,,320.0,320.0,,1,1,Very Low
Fitzroy,,320.0,320.0,,1,1,Very Low
Bedford Park,480.0,270.0,320.0,35.0,1,1,Very Low
Blanchetown,,315.0,315.0,,1,1,Very Low
Eudunda,270.0,350.0,310.0,,1,1,Very Low
Whyalla,250.0,360.0,310.0,35.0,1,1,Very Low
Streaky Bay,,310.0,310.0,,1,1,Very Low
Hilltown,,310.0,310.0,,1,1,Very Low
Whyalla Norrie,275.0,307.5,305.0,55.0,1,1,Very Low
Quorn,,300.0,300.0,,1,1,Very Low
Whyalla Playford,250.0,375.0,300.0,25.0,1,1,Very Low
Port Mannum,,300.0,300.0,,1,1,Very Low
Wirrina Cove,300.0,520.0,300.0,,1,1,Very Low
Hindmarsh Valley,,,300.0,,1,1,Very Low
Wudinna,,300.0,300.0,,1,1,Very Low
Tintinara,,300.0,300.0,,1,1,Very Low
Port Victoria,,300.0,300.0,,1,1,Very Low
Second Valley,300.0,,300.0,,1,1,Very Low
Farrell Flat,,300.0,300.0,,1,1,Very Low
Padthaway,,300.0,300.0,,1,1,Very Low
Jamestown,,295.0,295.0,,1,1,Very Low
Glossop,,290.0,290.0,,1,1,Very Low
Tarpeena,287.5,350.0,287.5,,1,1,Very Low
Reedy Creek,,280.0,280.0,,1,1,Very Low
Bugle Hut,,280.0,280.0,,1,1,Very Low
Whyalla Stuart,240.0,280.0,280.0,60.0,1,1,Very Low
Leigh Creek,,280.0,280.0,,1,1,Very Low
Salisbury Heights,,625.0,280.0,15.0,1,1,Very Low
Point Pass,280.0,,280.0,,1,1,Very Low
Gawler Belt,,687.5,275.0,,1,1,Very Low
Karoonda,,270.0,270.0,,1,1,Very Low
Mount Burr,,270.0,270.0,,1,1,Very Low
Keith,210.0,310.0,270.0,,1,1,Very Low
Willalooka,,270.0,270.0,,1,1,Very Low
Middle Beach,,,260.0,11.0,1,1,Very Low
Cleve,220.0,305.0,260.0,,1,1,Very Low
Coonalpyn,,260.0,260.0,,1,1,Very Low
Bellevue Heights,385.0,250.0,250.0,5.0,1,1,Very Low
Coober Pedy,244.5,250.0,250.0,15.0,1,1,Very Low
Wattle Flat,250.0,,250.0,,1,1,Very Low
Coonawarra,,250.0,250.0,,1,1,Very Low
Booleroo Centre,146.0,350.0,248.0,,1,1,Very Low
Robe,240.0,450.0,240.0,5.0,1,1,Very Low
Darlington,550.0,575.0,240.0,15.0,1,1,Very Low
Lock,240.0,230.0,230.0,,1,1,Very Low
Brownlow Via Kingscote,230.0,,230.0,,1,1,Very Low
Qualco,,230.0,230.0,,1,1,Very Low
Port Pirie,,415.0,227.5,30.0,1,1,Very Low
Verdun,,,227.5,,1,1,Very Low
Springfield,,,220.0,,1,1,Very Low
Yankalilla,214.1,,214.1,,1,1,Very Low
Andamooka,,200.0,200.0,,1,1,Very Low
Westall,200.0,,200.0,,1,1,Very Low
Port Neill,,200.0,200.0,,1,1,Very Low
Cowell,200.0,200.0,200.0,,1,1,Very Low
Hawker,180.0,,180.0,,1,1,Very Low
Stockport,,,170.0,,1,1,Very Low
Mount Bryan,,150.0,150.0,,1,1,Very Low
Kimba,85.0,,85.0,,1,1,Very Low
