Suburb,Unit_Total_Median,House_Total_Median,Total_Median,Total_Count,Rent_Score,Housing_Pressure_Score,Housing_Pressure_Category
Longwood,,650.0,650.0,,3,3,Medium
Novar Gardens,360.0,695.0,647.5,10.0,2,2,Low
Felixstow,490.0,695.0,645.0,30.0,2,2,Low
Keyneton,,645.0,645.0,,2,2,Low
Upper Sturt,,640.0,640.0,,2,2,Low
Mclaren Flat,,640.0,640.0,,2,2,Low
Campbelltown,510.0,670.0,640.0,110.0,2,2,Low
Blackwood,505.0,650.0,640.0,15.0,2,2,Low
Allenby Gardens,430.0,685.0,640.0,15.0,2,2,Low
Largs North,500.0,730.0,640.0,30.0,2,2,Low
Athelstone,575.0,650.0,640.0,40.0,2,2,Low
Brompton,600.0,640.0,635.0,55.0,2,2,Low
Vista,,635.0,635.0,,2,2,Low
Ashford,495.0,780.0,635.0,15.0,2,2,Low
Happy Valley,,630.0,630.0,25.0,2,2,Low
Medindie Gardens,,630.0,630.0,,2,2,Low
Lockleys,505.0,670.0,630.0,25.0,2,2,Low
Modbury,499.0,650.0,630.0,60.0,2,2,Low
Marion,630.0,620.0,630.0,30.0,2,2,Low
Highbury,550.0,630.0,630.0,25.0,2,2,Low
Aberfoyle Park,500.0,635.0,630.0,25.0,2,2,Low
Golden Grove,535.0,660.0,630.0,35.0,2,2,Low
Blair Athol,462.5,640.0,630.0,55.0,2,2,Low
Woodville,620.0,680.0,630.0,10.0,2,2,Low
Onkaparinga Heights,,630.0,630.0,5.0,2,2,Low
Seacliff Park,485.0,630.0,630.0,10.0,2,2,Low
South Brighton,550.0,725.0,630.0,25.0,2,2,Low
Royston Park,605.0,807.5,630.0,15.0,2,2,Low
Seacombe Heights,330.0,650.0,625.0,5.0,2,2,Low
Angle Vale,,625.0,625.0,60.0,2,2,Low
O Halloran Hill,,625.0,625.0,10.0,2,2,Low
Park Holme,445.0,660.0,625.0,25.0,2,2,Low
Cumberland Park,525.0,665.0,625.0,15.0,2,2,Low
Unley,560.0,735.0,622.5,45.0,2,2,Low
Modbury Heights,565.0,627.5,622.5,40.0,2,2,Low
Walkerville,590.0,1050.0,622.5,25.0,2,2,Low
Wingfield,,622.5,622.5,,2,2,Low
Kensington,540.0,705.0,620.0,20.0,2,2,Low
Torrensville,512.5,700.0,620.0,25.0,2,2,Low
North Shields,,620.0,620.0,,2,2,Low
Surrey Downs,520.0,620.0,620.0,15.0,2,2,Low
Kingston Park,620.0,,620.0,,2,2,Low
Reynella East,,620.0,620.0,,2,2,Low
Parkside,530.0,737.5,620.0,60.0,2,2,Low
Glandore,510.0,770.0,620.0,20.0,2,2,Low
Old Reynella,467.5,630.0,620.0,20.0,2,2,Low
Urrbrae,630.0,600.0,615.0,,2,2,Low
Fulham,550.0,680.0,615.0,20.0,2,2,Low
Clarence Gardens,550.0,640.0,615.0,15.0,2,2,Low
Glenside,555.0,800.0,615.0,35.0,2,2,Low
Gulfview Heights,,615.0,615.0,10.0,2,2,Low
Findon,580.0,650.0,612.5,90.0,2,2,Low
Seaford,515.0,610.0,610.0,25.0,2,2,Low
Seacombe Gardens,312.5,650.0,610.0,20.0,2,2,Low
Para Vista,,610.0,610.0,20.0,2,2,Low
Linden Park,550.0,795.0,610.0,15.0,2,2,Low
Northfield,495.0,620.0,610.0,45.0,2,2,Low
Suttontown,,610.0,610.0,5.0,2,2,Low
St Morris,500.0,860.0,610.0,10.0,2,2,Low
Enfield,465.0,650.0,610.0,50.0,2,2,Low
Gilles Plains,375.0,650.0,607.5,45.0,2,2,Low
Clapham,512.5,692.5,607.5,5.0,2,2,Low
Beulah Park,480.0,610.0,605.0,15.0,2,2,Low
Dernancourt,,605.0,605.0,20.0,2,2,Low
Old Noarlunga,,602.5,602.5,5.0,2,2,Low
Sellicks Beach,,600.0,600.0,10.0,2,2,Low
Glenelg,585.0,692.5,600.0,65.0,2,2,Low
Oaklands Park,480.0,640.0,600.0,50.0,2,2,Low
West Lakes Shore,550.0,700.0,600.0,10.0,2,2,Low
Toorak Gardens,520.0,795.0,600.0,10.0,2,2,Low
Welland,420.0,615.0,600.0,,2,2,Low
Gepps Cross,,600.0,600.0,5.0,2,2,Low
Woodville West,492.5,640.0,600.0,45.0,2,2,Low
Korunye,,600.0,600.0,,2,2,Low
New Port,480.0,700.0,600.0,15.0,2,2,Low
Somerton Park,522.5,750.0,600.0,35.0,2,2,Low
Montarra,,600.0,600.0,,2,2,Low
Norwood,540.0,720.0,600.0,100.0,2,2,Low
Para Hills,372.5,600.0,600.0,45.0,2,2,Low
Hindmarsh Island,,600.0,600.0,,2,2,Low
Burton,,600.0,600.0,25.0,2,2,Low
Evanston Park,,600.0,600.0,25.0,2,2,Low
Bethany,,600.0,600.0,,2,2,Low
Kudla,,600.0,600.0,,2,2,Low
Ferryden Park,450.0,620.0,600.0,30.0,2,2,Low
Reynella,480.0,600.0,600.0,20.0,2,2,Low
Redwood Park,,600.0,600.0,15.0,2,2,Low
Port Noarlunga,435.0,630.0,600.0,20.0,2,2,Low
Hectorville,550.0,670.0,600.0,50.0,2,2,Low
Flinders Park,455.0,610.0,600.0,40.0,2,2,Low
Woodcroft,450.0,600.0,600.0,30.0,2,2,Low
Plympton Park,490.0,680.0,600.0,40.0,2,2,Low
Ethelton,405.0,600.0,600.0,10.0,2,2,Low
Parafield Gardens,475.0,600.0,600.0,105.0,2,2,Low
Gawler South,420.0,600.0,600.0,10.0,2,2,Low
South Plympton,445.0,700.0,600.0,35.0,2,2,Low
Woodville South,550.0,680.0,600.0,25.0,2,2,Low
Trinity Gardens,560.0,650.0,600.0,10.0,2,2,Low
Melrose Park,480.0,630.0,600.0,25.0,2,2,Low
Modbury North,,600.0,600.0,30.0,2,2,Low
Albert Park,480.0,610.0,600.0,15.0,2,2,Low
Windsor,,600.0,600.0,,2,2,Low
Ingle Farm,321.6,600.0,600.0,70.0,2,2,Low
Manningham,510.0,627.5,600.0,15.0,2,2,Low
Crafers,,600.0,600.0,,2,2,Low
Holden Hill,500.0,610.0,600.0,35.0,2,2,Low
Valley View,440.0,615.0,600.0,45.0,2,2,Low
Vale Park,450.0,667.5,597.5,10.0,2,2,Low
Totness,,595.0,595.0,,2,2,Low
Echunga,,595.0,595.0,,2,2,Low
Nairne,485.0,600.0,595.0,25.0,2,2,Low
Edwardstown,450.0,650.0,595.0,35.0,2,2,Low
Virginia,,595.0,595.0,25.0,2,2,Low
Lower Light,,595.0,595.0,,2,2,Low
Mount Barker,517.5,600.0,595.0,235.0,2,2,Low
Mclaren Vale,,605.0,592.5,10.0,2,2,Low
Mile End,480.0,640.0,592.5,35.0,2,2,Low
Torrens Park,450.0,870.0,592.5,10.0,2,2,Low
Osborne,435.0,600.0,590.0,15.0,2,2,Low
Burnside,530.0,750.0,590.0,15.0,2,2,Low
Yatala Vale,,590.0,590.0,,2,2,Low
Seaford Meadows,495.0,590.0,590.0,25.0,2,2,Low
Templers,,590.0,590.0,,2,2,Low
Fullarton,550.0,875.0,590.0,35.0,2,2,Low
Myrtle Bank,550.0,672.5,590.0,15.0,2,2,Low
Forreston,,590.0,590.0,,2,2,Low
Kensington Park,560.0,755.0,590.0,15.0,2,2,Low
Norton Summit,,590.0,590.0,,2,2,Low
Port Willunga,450.0,592.5,590.0,15.0,2,2,Low
St Clair,550.0,600.0,590.0,45.0,2,2,Low
Hayborough,520.0,590.0,590.0,25.0,2,2,Low
Hawthorn,500.0,750.0,587.5,10.0,2,2,Low
Mansfield Park,260.0,607.5,585.0,20.0,2,2,Low
Richmond,430.0,680.0,585.0,30.0,2,2,Low
Mawson Lakes,505.0,645.0,585.0,170.0,2,2,Low
Clovelly Park,550.0,610.0,585.0,30.0,2,2,Low
Normanville,420.0,590.0,580.0,10.0,2,2,Low
Kilkenny,585.0,570.0,580.0,15.0,2,2,Low
Salisbury Park,,580.0,580.0,10.0,2,2,Low
Kent Town,580.0,1250.0,580.0,15.0,2,2,Low
Crystal Brook,,580.0,580.0,,2,2,Low
Lobethal,,580.0,580.0,,2,2,Low
Banksia Park,,580.0,580.0,5.0,2,2,Low
Gawler East,480.0,580.0,580.0,35.0,2,2,Low
Ridgehaven,505.0,610.0,580.0,40.0,2,2,Low
Hyde Park,535.0,1300.0,580.0,15.0,2,2,Low
Munno Para Down,,580.0,580.0,,2,2,Low
Gumeracha,211.0,590.0,580.0,,2,2,Low
Metro Total,500.0,600.0,580.0,10695.0,2,2,Low
Hillbank,,580.0,580.0,10.0,2,2,Low
Mitchell Park,430.0,620.0,580.0,60.0,2,2,Low
Worrolong,,580.0,580.0,,2,2,Low
Royal Park,480.0,640.0,580.0,30.0,2,2,Low
Christies Beach,485.0,592.5,580.0,80.0,2,2,Low
Semaphore Park,550.0,600.0,580.0,25.0,2,2,Low
Wayville,550.0,845.0,580.0,15.0,2,2,Low
Prospect,490.0,650.0,580.0,170.0,2,2,Low
North Plympton,510.0,630.0,577.5,20.0,2,2,Low
Aldinga Beach,485.0,600.0,577.5,80.0,2,2,Low
Seaford Rise,,577.5,577.5,15.0,2,2,Low
Marden,530.0,700.0,577.5,40.0,2,2,Low
Munno Para Downs,,580.0,575.0,145.0,2,2,Low
Renown Park,470.0,645.0,575.0,20.0,2,2,Low
Willaston,485.0,600.0,575.0,15.0,2,2,Low
Direk,,575.0,575.0,5.0,2,2,Low
Croydon,425.0,710.0,575.0,,2,2,Low
Maslin Beach,580.0,562.5,575.0,5.0,2,2,Low
Forestville,550.0,600.0,572.5,15.0,2,2,Low
St Agnes,550.0,610.0,572.5,20.0,2,2,Low
Glenelg North,507.5,680.0,572.5,55.0,2,2,Low
Greenwith,164.8,575.0,572.5,20.0,2,2,Low
Evandale,450.0,625.0,570.0,10.0,2,2,Low
Cheltenham,460.0,595.0,570.0,10.0,2,2,Low
Klemzig,520.0,645.0,570.0,65.0,2,2,Low
Athol Park,505.0,582.2,570.0,15.0,2,2,Low
Woodside,,570.0,570.0,10.0,2,2,Low
Kings Park,515.0,682.5,570.0,,2,2,Low
Pooraka,472.5,597.5,570.0,50.0,2,2,Low
Point Boston,,570.0,570.0,,2,2,Low
Morphett Vale,470.0,580.0,570.0,155.0,2,2,Low
Clearview,510.0,595.0,567.5,35.0,2,2,Low
Camden Park,455.0,680.0,565.0,35.0,2,2,Low
Noarlunga Downs,490.0,580.0,565.0,15.0,2,2,Low
Paralowie,324.5,572.5,565.0,105.0,2,2,Low
Salisbury East,440.0,577.5,565.0,70.0,2,2,Low
Salisbury Plain,,565.0,565.0,10.0,2,2,Low
Wynn Vale,540.0,580.0,565.0,20.0,2,2,Low
Moculta,,562.5,562.5,,2,2,Low
Blakeview,475.0,560.0,560.0,75.0,2,2,Low
Dry Creek,,560.0,560.0,,2,2,Low
Noarlunga Centre,465.0,590.0,560.0,,2,2,Low
Salisbury Downs,300.0,575.0,560.0,55.0,2,2,Low
Paradise,520.0,570.0,560.0,60.0,2,2,Low
Eight Mile Creek,,560.0,560.0,,2,2,Low
Firle,550.0,580.0,560.0,15.0,2,2,Low
Brahma Lodge,560.0,560.0,560.0,25.0,2,2,Low
Freeling,,560.0,560.0,,2,2,Low
Kanmantoo,,560.0,560.0,,2,2,Low
Encounter Bay,482.5,577.5,557.5,35.0,2,2,Low
Glanville,464.0,640.0,557.5,10.0,2,2,Low
Coffin Bay,,555.0,555.0,,2,2,Low
Ascot Park,500.0,620.0,555.0,40.0,2,2,Low
Craigmore,,560.0,555.0,55.0,2,2,Low
Glenunga,560.0,500.0,555.0,20.0,2,2,Low
Glenelg South,565.0,550.0,555.0,25.0,2,2,Low
Nuriootpa,450.0,555.0,550.0,40.0,2,2,Low
Mount Pleasant,,550.0,550.0,,2,2,Low
Ob Flat,,550.0,550.0,,2,2,Low
Dawesley,,550.0,550.0,,2,2,Low
Port Broughton,275.0,580.0,550.0,10.0,2,2,Low
Windsor Gardens,495.0,630.0,550.0,50.0,2,2,Low
Lyndoch,,550.0,550.0,10.0,2,2,Low
Tusmore,535.0,670.0,550.0,10.0,2,2,Low
Andrews Farm,337.5,560.0,550.0,105.0,2,2,Low
Tanunda,450.0,550.0,550.0,30.0,2,2,Low
Compton,,550.0,550.0,,2,2,Low
Jerusalem,,550.0,550.0,,2,2,Low
West Hindmarsh,450.0,630.0,550.0,10.0,2,2,Low
Grand Total,495.0,590.0,550.0,13210.0,2,2,Low
Devon Park,490.0,620.0,550.0,20.0,2,2,Low
Plympton,470.0,650.0,550.0,75.0,2,2,Low
Erindale,550.0,,550.0,,2,2,Low
Huntfield Heights,460.0,550.0,550.0,15.0,2,2,Low
Glenelg East,527.5,635.0,550.0,35.0,2,2,Low
Largs Bay,540.0,592.5,550.0,20.0,2,2,Low
Oakden,282.91,625.0,550.0,20.0,2,2,Low
Hackham,360.0,555.0,550.0,15.0,2,2,Low
Kurralta Park,480.0,650.0,550.0,45.0,2,2,Low
Pennington,,550.0,550.0,25.0,2,2,Low
Seaview Downs,,570.0,550.0,15.0,2,2,Low
Kensington Gardens,550.0,600.0,550.0,25.0,2,2,Low
Munno Para,385.0,560.0,550.0,100.0,2,2,Low
Munno Para West,650.0,550.0,550.0,155.0,2,2,Low
Tea Tree Gully,505.0,635.0,550.0,20.0,2,2,Low
Eyre,510.0,550.0,550.0,25.0,2,2,Low
Taperoo,203.2,550.0,550.0,25.0,2,2,Low
Nailsworth,462.5,630.0,550.0,15.0,2,2,Low
Macclesfield,545.0,,545.0,,1,1,Very Low
Hillier,,545.0,545.0,,1,1,Very Low
Collinswood,540.0,550.0,545.0,10.0,1,1,Very Low
Leabrook,540.0,,540.0,10.0,1,1,Very Low
Sefton Park,460.0,600.0,540.0,5.0,1,1,Very Low
Evanston Gardens,560.0,540.0,540.0,50.0,1,1,Very Low
Hope Valley,470.0,597.5,540.0,25.0,1,1,Very Low
Thebarton,430.0,575.0,537.5,15.0,1,1,Very Low
West Croydon,475.0,550.0,535.0,30.0,1,1,Very Low
Daw Park,510.0,760.0,535.0,15.0,1,1,Very Low
Underdale,507.5,647.5,535.0,20.0,1,1,Very Low
Cudlee Creek,,530.0,530.0,,1,1,Very Low
Joslin,440.0,925.0,530.0,,1,1,Very Low
Kapunda,164.9,550.0,530.0,10.0,1,1,Very Low
Ottoway,455.0,600.0,530.0,15.0,1,1,Very Low
Para Hills West,440.0,630.0,530.0,25.0,1,1,Very Low
Peterhead,432.5,550.0,530.0,5.0,1,1,Very Low
Globe Derby Park,,530.0,530.0,,1,1,Very Low
Salisbury North,445.0,535.0,527.5,80.0,1,1,Very Low
Hackham West,400.0,545.0,527.5,30.0,1,1,Very Low
Marleston,490.0,725.0,525.0,25.0,1,1,Very Low
Strathalbyn,450.0,530.0,525.0,30.0,1,1,Very Low
Mount Benson,,525.0,525.0,,1,1,Very Low
Keswick,470.0,630.0,525.0,10.0,1,1,Very Low
Payneham,490.0,595.0,525.0,35.0,1,1,Very Low
Woodville North,517.5,525.0,522.5,30.0,1,1,Very Low
O Sullivan Beach,450.0,545.0,522.5,15.0,1,1,Very Low
Angle Park,,520.7,520.7,,1,1,Very Low
Smithfield Plains,237.9,520.0,520.0,55.0,1,1,Very Low
Middleton,462.5,520.0,520.0,10.0,1,1,Very Low
Murray Bridge East,,520.0,520.0,,1,1,Very Low
Alberton,440.0,520.0,520.0,10.0,1,1,Very Low
Goolwa North,,520.0,520.0,10.0,1,1,Very Low
Hindmarsh,767.5,545.0,520.0,5.0,1,1,Very Low
Millswood,520.0,600.0,520.0,10.0,1,1,Very Low
Smithfield,171.155,540.0,520.0,40.0,1,1,Very Low
Coromandel Valley,520.0,585.0,520.0,,1,1,Very Low
Hawthorndene,365.0,650.0,515.0,,1,1,Very Low
Adelaide,539.0,650.0,514.5,1050.0,1,1,Very Low
Semaphore,450.0,625.0,510.0,25.0,1,1,Very Low
Kalbeeba,,510.0,510.0,,1,1,Very Low
Yahl,,510.0,510.0,,1,1,Very Low
Goolwa South,435.0,520.0,510.0,10.0,1,1,Very Low
Mount Barker Springs,,510.0,510.0,,1,1,Very Low
Black Forest,475.0,670.0,510.0,15.0,1,1,Very Low
St Peters,500.0,727.5,510.0,25.0,1,1,Very Low
Rosewater,430.0,547.5,505.0,20.0,1,1,Very Low
Elizabeth Park,283.89,510.0,505.0,50.0,1,1,Very Low
West Beach,480.0,695.0,502.5,30.0,1,1,Very Low
Birdwood,392.5,975.0,502.5,,1,1,Very Low
Ovingham,447.5,540.0,500.0,10.0,1,1,Very Low
Penneshaw,,500.0,500.0,,1,1,Very Low
Broadview,475.0,615.0,500.0,35.0,1,1,Very Low
Birkenhead,540.0,487.5,500.0,10.0,1,1,Very Low
Marryatville,,500.0,500.0,5.0,1,1,Very Low
Port Vincent,,500.0,500.0,,1,1,Very Low
Lewiston,,500.0,500.0,,1,1,Very Low
Northern Heights,,500.0,500.0,,1,1,Very Low
Goolwa Beach,,500.0,500.0,15.0,1,1,Very Low
Goodwood,497.5,655.0,500.0,30.0,1,1,Very Low
Port Hughes,,500.0,500.0,,1,1,Very Low
Queenstown,415.0,650.0,500.0,15.0,1,1,Very Low
Watervale,,500.0,500.0,,1,1,Very Low
Willunga,465.0,525.0,500.0,5.0,1,1,Very Low
Elizabeth Vale,435.0,500.0,500.0,50.0,1,1,Very Low
Salisbury,430.0,550.0,500.0,100.0,1,1,Very Low
Evanston,280.0,520.0,500.0,45.0,1,1,Very Low
St Marys,450.0,650.0,500.0,30.0,1,1,Very Low
Kilburn,480.0,530.0,500.0,50.0,1,1,Very Low
Clarence Park,490.0,672.5,500.0,25.0,1,1,Very Low
Tooperang,,500.0,500.0,,1,1,Very Low
Port Elliot,330.2,512.5,497.5,15.0,1,1,Very Low
Christie Downs,332.75,525.0,495.0,40.0,1,1,Very Low
Kyeema,,495.0,495.0,,1,1,Very Low
Gawler West,492.5,535.0,492.5,,1,1,Very Low
Boston,,490.0,490.0,,1,1,Very Low
Elizabeth East,,500.0,490.0,55.0,1,1,Very Low
Croydon Park,490.0,580.0,490.0,50.0,1,1,Very Low
Hendon,400.0,640.0,490.0,5.0,1,1,Very Low
Hahndorf,490.0,575.0,490.0,,1,1,Very Low
Woodville Park,360.0,575.0,490.0,10.0,1,1,Very Low
Elizabeth Downs,480.0,500.0,490.0,85.0,1,1,Very Low
Woodville Gardens,364.45,497.5,483.7,20.0,1,1,Very Low
Finniss,,480.0,480.0,,1,1,Very Low
Brooklyn Park,460.0,615.0,480.0,50.0,1,1,Very Low
Elizabeth Grove,300.0,490.0,480.0,35.0,1,1,Very Low
Biggs Flat,,480.0,480.0,,1,1,Very Low
Victor Harbor,450.0,490.0,480.0,25.0,1,1,Very Low
Dulwich,445.0,925.0,475.0,15.0,1,1,Very Low
Elizabeth,395.0,550.0,475.0,10.0,1,1,Very Low
Penwortham,,475.0,475.0,,1,1,Very Low
Stansbury,,475.0,475.0,,1,1,Very Low
Rowland Flat,,650.0,475.0,,1,1,Very Low
Davoren Park,230.8,475.0,470.0,110.0,1,1,Very Low
Parham,,470.0,470.0,,1,1,Very Low
Chiton,,470.0,470.0,,1,1,Very Low
New Town,,460.0,460.0,,1,1,Very Low
Paris Creek,,460.0,460.0,,1,1,Very Low
Semaphore South,455.0,570.0,460.0,10.0,1,1,Very Low
Myponga,,453.75,453.75,,1,1,Very Low
Wanilla,,450.0,450.0,,1,1,Very Low
Milang,,450.0,450.0,,1,1,Very Low
Pekina,,450.0,450.0,,1,1,Very Low
Scott Creek,,450.0,450.0,,1,1,Very Low
Clare,355.0,450.0,450.0,20.0,1,1,Very Low
Clayton Bay,,450.0,450.0,,1,1,Very Low
Penrice,,450.0,450.0,,1,1,Very Low
Elizabeth North,450.0,450.0,450.0,60.0,1,1,Very Low
Thevenard,,450.0,450.0,,1,1,Very Low
Murray Bridge,310.0,460.0,450.0,230.0,1,1,Very Low
Montacute,450.0,,450.0,,1,1,Very Low
Cummins,,450.0,450.0,,1,1,Very Low
Truro,,450.0,450.0,,1,1,Very Low
Lenswood,,450.0,450.0,,1,1,Very Low
Port Lincoln,400.0,480.0,450.0,125.0,1,1,Very Low
Beverley,425.0,640.0,450.0,15.0,1,1,Very Low
Renmark West,,450.0,450.0,,1,1,Very Low
Gawler,440.0,490.0,450.0,5.0,1,1,Very Low
Elizabeth South,226.175,470.0,450.0,30.0,1,1,Very Low
Rapid Bay,,450.0,450.0,,1,1,Very Low
Reeves Plains,,450.0,450.0,,1,1,Very Low
Exeter,355.0,620.0,445.0,,1,1,Very Low
Cape Douglas,,445.0,445.0,,1,1,Very Low
Wool Bay,,445.0,445.0,,1,1,Very Low
Moonta,,440.0,440.0,,1,1,Very Low
American River,,440.0,440.0,,1,1,Very Low
Cowandilla,395.0,650.0,440.0,15.0,1,1,Very Low
Baudin Beach,355.0,450.0,440.0,,1,1,Very Low
North Beach,,440.0,440.0,,1,1,Very Low
Everard Park,425.0,990.0,437.5,10.0,1,1,Very Low
Saddleworth,250.0,500.0,437.5,5.0,1,1,Very Low
Thompson Beach,,435.0,435.0,,1,1,Very Low
Wallaroo,280.0,440.0,432.5,25.0,1,1,Very Low
Mount Gambier,300.0,460.0,430.0,270.0,1,1,Very Low
Country Total,300.0,450.0,430.0,2515.0,1,1,Very Low
Moorook South,,430.0,430.0,,1,1,Very Low
Whyalla Jenkins,,427.5,427.5,20.0,1,1,Very Low
Carrickalinga,350.0,500.0,425.0,,1,1,Very Low
Light Pass,,425.0,425.0,,1,1,Very Low
Bordertown,191.2,427.5,425.0,15.0,1,1,Very Low
